4417,31520,2011-11-28,2011-11-01,23,2875,0.09,125,2661.57,Rob Weirich,Wynn Resorts Limited,Consumer Services,Hotels/Resorts,Metairie,70003,Louisiana,South,2011-11-29,1,Training - SQL,Training,Business Model,William Bufont,Frank Mitchell,62,1,0.5
7266,51842,2011-11-28,2011-11-01,1,110,0.02,110,109.67,Tamara Tyler,TripAdvisor Inc.,Technology,Computer Software: Programming Data Processing,Rexburg,83440,Idaho,West,2011-12-03,5,Development - Python,Development,Market Research,Alexander Edison,Bob Turner,70,1,0.36
7267,51842,2011-11-28,2011-11-01,4,800,0.07,200,756.89,Tamara Tyler,TripAdvisor Inc.,Technology,Computer Software: Programming Data Processing,Rexburg,83440,Idaho,West,2011-12-02,4,Development - Big Data,Development,Python,Jacob Manziel,Bob Turner,57,1,0.72
449,3046,2011-11-29,2011-11-01,24,3840,0.03,160,3789.42,Sung Martin,Ross Stores Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,Nampa,83686,Idaho,West,2011-12-01,2,Development - Java,Development,PHP,Daniel Tusk,Bob Turner,45,1,0.72
6933,49477,2011-11-29,2011-11-01,9,990,0.01,110,997.1,Grant Jackson,Tesla Motors Inc.,Capital Goods,Auto Manufacturing,Fairmont,26554,West Virginia,East,2011-11-29,0,Development - Python,Development,Java,Michael Alister,Allen Young,68,1,0.38
7481,53411,2011-11-29,2011-11-01,25,3750,0.08,150,3509.85,Brenda Hildebrand,Whole Foods Market Inc.,Consumer Services,Food Chains,West Islip,11795,New York,East,2011-11-30,1,Consulting - Business Model,Consulting,Business Model,Ava Wilson,Allen Young,67,1,0.55
7850,56130,2011-11-29,2011-11-01,13,1625,0.08,125,1520.93,David Powers,Vertex Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals,Redondo Beach,90278,California,West,2011-12-01,2,Training - SQL,Training,Python,Jayden Hamilton,Bob Turner,71,1,0.43
7851,56130,2011-11-29,2011-11-01,25,3000,0.05,120,2899.44,David Powers,Vertex Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals,Redondo Beach,90278,California,West,2011-12-01,2,Development - Business Logic,Development,Javascript,Abigail Young,Bob Turner,50,1,0.58
649,4579,2011-11-30,2011-11-01,40,6400,0.05,160,6185.62,Dennis Cyprus,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Shoreview,55126,Minnesota,Central,2011-12-01,1,Development - Java,Development,PHP,Noah Smith,Josh Martinez,59,1,0.63
2699,19523,2011-11-30,2011-11-01,44,4840,0.04,110,4727.12,Jim Kriz,Linear Technology Corporation,Technology,Semiconductors,Harrisburg,17112,Pennsylvania,East,2011-12-01,1,Development - Python,Development,Business Logic,Olivia Sullivan,Allen Young,53,1,0.52
4673,33253,2011-11-30,2011-11-01,6,720,0.08,120,673.91,Katherine Ballard,Yahoo! Inc.,Technology,EDP Services,Passaic,7055,New Jersey,East,2011-12-02,2,Development - Business Logic,Development,PHP,Madison Hill,Allen Young,58,1,0.52
4674,33253,2011-11-30,2011-11-01,17,2550,0.04,150,2490.53,Katherine Ballard,Yahoo! Inc.,Technology,EDP Services,Westbrook,4092,Maine,East,2011-12-02,2,Consulting - Market Research,Consulting,Business Logic,Alexander Edison,Allen Young,70,1,0.53
3541,25248,2011-12-01,2011-12-01,33,4950,0.05,150,4784.31,Christina Yedwab,Gilead Sciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Newton,50208,Iowa,Central,2011-12-03,2,Consulting - Business Model,Consulting,.Net,Sophia Dixon,Josh Martinez,71,1,0.53
3542,25248,2011-12-01,2011-12-01,26,2860,0.1,110,2618.78,Christina Yedwab,Gilead Sciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Newton,50208,Iowa,Central,2011-12-02,1,Development - Python,Development,Business Logic,Sophia Dixon,Josh Martinez,71,1,0.35
3800,27106,2011-12-01,2011-12-01,1,160,0.06,160,153.02,Lena Luxemburg,Discovery Communications Inc.,Consumer Services,Television Services,Penn Hills,15235,Pennsylvania,East,2011-12-03,2,Development - Java,Development,Development,Alexander Edison,Allen Young,70,1,0.56
3801,27106,2011-12-01,2011-12-01,50,5500,0.08,110,5148.03,Lena Luxemburg,Discovery Communications Inc.,Consumer Services,Television Services,Penn Hills,15235,Pennsylvania,East,2011-12-01,0,Development - PHP,Development,Javascript,Olivia Sullivan,Allen Young,53,1,0.52
3802,27106,2011-12-01,2011-12-01,29,3625,0.08,125,3393.02,Lena Luxemburg,Discovery Communications Inc.,Consumer Services,Television Services,Philadelphia,19143,Pennsylvania,East,2011-12-03,2,Training - Development,Training,Business Model,Liam Franklin,Allen Young,52,1,0.58
3803,27106,2011-12-01,2011-12-01,42,5250,0.05,125,5074.27,Lena Luxemburg,Discovery Communications Inc.,Consumer Services,Television Services,Philadelphia,19143,Pennsylvania,East,2011-12-03,2,Training - SQL,Training,Business Logic,Jayden Hamilton,Allen Young,71,1,0.43
3804,27106,2011-12-01,2011-12-01,10,1200,0.08,120,1123.21,Lena Luxemburg,Discovery Communications Inc.,Consumer Services,Television Services,Philadelphia,19143,Pennsylvania,East,2011-12-03,2,Development - Business Logic,Development,Python,Ethan Bird,Allen Young,60,1,0.5
2044,14563,2011-12-02,2011-12-01,31,4650,0.02,150,4636.39,Becky Poirier,Paychex Inc.,Consumer Services,Diversified Commercial Services,Oregon City,97045,Oregon,West,2011-12-03,1,Consulting - Market Research,Consulting,.Net,Elizabeth Carter,Bob Turner,52,1,0.65
4504,32065,2011-12-02,2011-12-01,25,3750,0.09,150,3471.95,Laurel Stivers,Cisco Systems Inc.,Technology,Computer Communications Equipment,East Massapequa,11758,New York,East,2011-12-03,1,Consulting - Strategy,Consulting,Javascript,Olivia Sullivan,Allen Young,53,1,0.65
4704,33510,2011-12-02,2011-12-01,42,5250,0.03,125,5181.22,Vivek Collins,Express Scripts Holding Company,Health Care,Medical/Nursing Services,Upper Arlington,43221,Ohio,East,2011-12-03,1,Training - SQL,Training,Java,Olivia Sullivan,Allen Young,53,1,0.58
4705,33510,2011-12-02,2011-12-01,11,1210,0.06,110,1157.22,Vivek Collins,Express Scripts Holding Company,Health Care,Medical/Nursing Services,Upper Arlington,43221,Ohio,East,2011-12-02,0,Development - Python,Development,SQL,Emma Watson,Allen Young,67,1,0.39
5288,37667,2011-12-02,2011-12-01,31,4960,0.03,160,4895.02,Peter Abelman,NVIDIA Corporation,Technology,Semiconductors,Augusta,30904,Georgia,South,2011-12-03,1,Development - Java,Development,Python,Alexander Edison,Frank Mitchell,70,1,0.56
6385,45376,2011-12-02,2011-12-01,19,3800,0.08,200,3556.91,Vivek Barchas,Equinix Inc.,Public Utilities,Telecommunications Equipment,Aspen Hill,20906,Maryland,East,2011-12-03,1,Development - Big Data,Development,.Net,Liam Franklin,Allen Young,52,1,0.74
120,774,2011-12-03,2011-12-01,17,2890,0.03,170,2852.21,Sibella Zandusky,Liberty Media Corporation,Consumer Services,Broadcasting,Albany,97321,Oregon,West,2011-12-05,2,Development - .Net,Development,SQL,Alexander Edison,Bob Turner,70,1,0.59
4112,29255,2011-12-03,2011-12-01,11,1650,0.03,150,1628.42,Sally Price,Comcast Corporation,Consumer Services,Television Services,North Royalton,44133,Ohio,East,2011-12-07,4,Consulting - Market Research,Consulting,Python,Emily Taylor,Allen Young,62,1,0.59
