6715,47846,2012-08-11,2012-08-01,5,625,0.01,125,633.43,Hilary Vittorini,Baidu Inc.,Technology,Computer Software: Programming Data Processing,Muncie,47302,Indiana,Central,2012-08-13,2,Training - SQL,Training,Market Research,Sophia Dixon,Josh Martinez,71,1,0.43
6716,47846,2012-08-11,2012-08-01,25,3125,0.06,125,3007.17,Hilary Vittorini,Baidu Inc.,Technology,Computer Software: Programming Data Processing,Muncie,47302,Indiana,Central,2012-08-13,2,Training - SQL,Training,Market Research,Abigail Young,Josh Martinez,50,1,0.6
6717,47846,2012-08-11,2012-08-01,50,6250,0.03,125,6206.3,Hilary Vittorini,Baidu Inc.,Technology,Computer Software: Programming Data Processing,Muncie,47302,Indiana,Central,2012-08-12,1,Training - SQL,Training,Compensation,Mason Gibson,Josh Martinez,71,1,0.43
6718,47846,2012-08-11,2012-08-01,37,4070,0.08,110,3833.21,Hilary Vittorini,Baidu Inc.,Technology,Computer Software: Programming Data Processing,Muncie,47302,Indiana,Central,2012-08-12,1,Development - Python,Development,Python,Ava Wilson,Josh Martinez,67,1,0.39
1846,13284,2012-08-12,2012-08-01,22,3520,0.05,160,3423.4,Muhammed Wilson,Broadcom Corporation,Technology,Semiconductors,South Boston,2127,MA,East,2012-08-13,1,Development - Java,Development,Big Data,Elizabeth Carter,Allen Young,52,1,0.68
1847,13284,2012-08-12,2012-08-01,49,7840,0.1,160,7223.54,Muhammed Wilson,Broadcom Corporation,Technology,Semiconductors,Taunton,2718,MA,East,2012-08-13,1,Development - Java,Development,SQL,Madison Hill,Allen Young,58,1,0.64
2753,19905,2012-08-12,2012-08-01,20,4000,0.04,200,3931.18,Matt French,Paychex Inc.,Consumer Services,Diversified Commercial Services,Brooklyn Center,55429,Minnesota,Central,2012-08-14,2,Development - Scala,Development,Business Model,Abigail Young,Josh Martinez,50,1,0.75
2754,19905,2012-08-12,2012-08-01,25,3125,0.01,125,3167.21,Matt French,Paychex Inc.,Consumer Services,Diversified Commercial Services,Brooklyn Center,55429,Minnesota,Central,2012-08-14,2,Training - Javascript,Training,Compensation,Noah Smith,Josh Martinez,59,1,0.53
2765,20002,2012-08-12,2012-08-01,9,1350,0.1,150,1243.85,Dianna Martinez,Broadcom Corporation,Technology,Semiconductors,Sun City,85351,Arizona,West,2012-08-13,1,Consulting - Business Model,Consulting,SQL,Emma Watson,Bob Turner,67,1,0.55
3797,27078,2012-08-12,2012-08-01,22,2420,0.03,110,2403.14,Nathan Lee,Cognizant Technology Solutions Corporation,Technology,EDP Services,Hoover,35244,Alabama,South,2012-08-13,1,Development - Python,Development,Big Data,Elizabeth Carter,Frank Mitchell,52,1,0.53
4128,29347,2012-08-12,2012-08-01,50,5500,0.07,110,5236.45,Tanja Collins,Tesla Motors Inc.,Capital Goods,Auto Manufacturing,Sanford,32771,Florida,South,2012-08-14,2,Development - Python,Development,Business Model,Liam Franklin,Frank Mitchell,52,1,0.53
5573,39490,2012-08-12,2012-08-01,38,4560,0.02,120,4574.91,Ashley Wiener,Lam Research Corporation,Technology,Industrial Machinery/Components,Glendale,85301,Arizona,West,2012-08-12,0,Development - Business Logic,Development,Market Research,Emma Watson,Bob Turner,67,1,0.44
5574,39490,2012-08-12,2012-08-01,17,2125,0.03,125,2110.19,Ashley Wiener,Lam Research Corporation,Technology,Industrial Machinery/Components,Glendale,85301,Arizona,West,2012-08-16,4,Training - Javascript,Training,Python,Liam Franklin,Bob Turner,52,1,0.58
6445,45860,2012-08-12,2012-08-01,12,1320,0.01,110,1337.83,Matthew Nguyen,Regeneron Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,Winter Garden,34787,Florida,South,2012-08-12,0,Development - Python,Development,Tableau,Alexander Edison,Frank Mitchell,70,1,0.36
